,Sample_ID,sampling_id,date,region,site,type,subtype
1,F_W040,F14,2018-06-11,Med_France,Carnon_Palavas,water,water
2,F_W043,F16,2018-06-12,Med_France,Frontignan_Aresquiers,water,water
3,F_W044,F16,2018-06-12,Med_France,Frontignan_Aresquiers,water,water
4,F_W045,F16,2018-06-12,Med_France,Frontignan_Aresquiers,water,water
5,F_W068,F37,2018-09-12,Med_France,Carnon_Palavas,water,water
6,F_W072,F37,2018-09-12,Med_France,Carnon_Palavas,water,water
7,F_W076,F43,2018-09-24,Med_France,Carnon_Palavas,water,water
8,F_W077,F43,2018-09-24,Med_France,Carnon_Palavas,water,water
9,F_W078,F43,2018-09-24,Med_France,Carnon_Palavas,water,water
10,F_W079,F48,2018-10-04,Med_France,Frontignan_Aresquiers,water,water
11,F_W080,F48,2018-10-04,Med_France,Frontignan_Aresquiers,water,water
12,F_W081,F48,2018-10-04,Med_France,Frontignan_Aresquiers,water,water
13,F_W130,F66,2018-12-14,Med_France,Carnon_Palavas,water,water
14,F_W132,F66,2018-12-14,Med_France,Carnon_Palavas,water,water
15,F_W139,F73,2019-03-20,Med_France,Carnon_Palavas,water,water
16,F_W140,F73,2019-03-20,Med_France,Carnon_Palavas,water,water
17,F_W141,F73,2019-03-20,Med_France,Carnon_Palavas,water,water
18,F_W145,F82,2019-05-22,Med_France,Carnon_Palavas,water,water
19,F_W146,F82,2019-05-22,Med_France,Carnon_Palavas,water,water
20,F_W147,F82,2019-05-22,Med_France,Carnon_Palavas,water,water
21,F_W148,F82,2019-05-22,Med_France,Carnon_Palavas,water,water
22,G_W151,G84,2019-06-05,Med_Crete,Hersonissos,water,water
23,G_W153,G84,2019-06-05,Med_Crete,Hersonissos,water,water
24,G_W154,G84,2019-06-05,Med_Crete,Hersonissos,water,water
25,G_W157,G86,2019-06-06,Med_Crete,Hersonissos,water,water
26,G_W159,G87,2019-06-07,Med_Crete,Kokkini_Hani,water,water
27,G_W161,G87,2019-06-07,Med_Crete,Kokkini_Hani,water,water
28,G_W162,G87,2019-06-07,Med_Crete,Kokkini_Hani,water,water
29,G_W163,G87,2019-06-07,Med_Crete,Kokkini_Hani,water,water
30,G_W164,G87,2019-06-07,Med_Crete,Kokkini_Hani,water,water
31,G_W165,G91,2019-06-11,Med_Crete,Kokkini_Hani,water,water
32,G_W166,G91,2019-06-11,Med_Crete,Kokkini_Hani,water,water
33,G_W167,G91,2019-06-11,Med_Crete,Kokkini_Hani,water,water
34,G_W168,G91,2019-06-11,Med_Crete,Kokkini_Hani,water,water
35,G_W170,G91,2019-06-11,Med_Crete,Kokkini_Hani,water,water
36,G_W171,G94,2019-06-12,Med_Crete,Hersonissos,water,water
37,G_W173,G94,2019-06-12,Med_Crete,Hersonissos,water,water
38,G_W174,G94,2019-06-12,Med_Crete,Hersonissos,water,water
39,G_W175,G94,2019-06-12,Med_Crete,Hersonissos,water,water
40,G_W177,G94,2019-06-12,Med_Crete,Hersonissos,water,water
41,G_W179,G94,2019-06-12,Med_Crete,Hersonissos,water,water
42,F_W180,F100,2019-06-27,Med_France,Carnon_Palavas,water,water
43,F_W181,F100,2019-06-27,Med_France,Carnon_Palavas,water,water
44,F_W182,F100,2019-06-27,Med_France,Carnon_Palavas,water,water
45,F_W183,F102,2019-07-04,Med_France,Carnon_Palavas,water,water
46,F_W184,F102,2019-07-04,Med_France,Carnon_Palavas,water,water
47,F_W185,F102,2019-07-04,Med_France,Carnon_Palavas,water,water
48,F_W186,F105,2019-07-11,Med_France,Frontignan_Aresquiers,water,water
49,F_W187,F105,2019-07-11,Med_France,Frontignan_Aresquiers,water,water
50,F_W188,F105,2019-07-11,Med_France,Frontignan_Aresquiers,water,water
51,F_W189,F105,2019-07-11,Med_France,Frontignan_Aresquiers,water,water
52,F_W190,F105,2019-07-11,Med_France,Frontignan_Aresquiers,water,water
53,G_W197,G112,2019-10-03,Med_Crete,Kokkini_Hani,water,water
54,G_W198,G112,2019-10-03,Med_Crete,Kokkini_Hani,water,water
55,G_W199,G112,2019-10-03,Med_Crete,Kokkini_Hani,water,water
56,G_W200,G112,2019-10-03,Med_Crete,Kokkini_Hani,water,water
57,G_W201,G112,2019-10-03,Med_Crete,Kokkini_Hani,water,water
58,G_W202,G112,2019-10-03,Med_Crete,Kokkini_Hani,water,water
59,G_W206,G114,2019-10-04,Med_Crete,Kokkini_Hani,water,water
60,G_W207,G114,2019-10-04,Med_Crete,Kokkini_Hani,water,water
61,G_W208,G114,2019-10-04,Med_Crete,Kokkini_Hani,water,water
62,G_W212,G119,2019-10-08,Med_Crete,Hersonissos,water,water
63,G_W213,G119,2019-10-08,Med_Crete,Hersonissos,water,water
64,G_W214,G119,2019-10-08,Med_Crete,Hersonissos,water,water
65,G_W215,G119,2019-10-08,Med_Crete,Hersonissos,water,water
66,G_W216,G119,2019-10-08,Med_Crete,Hersonissos,water,water
67,G_W217,G119,2019-10-08,Med_Crete,Hersonissos,water,water
68,G_W218,G119,2019-10-08,Med_Crete,Hersonissos,water,water
69,G_W219,G119,2019-10-08,Med_Crete,Hersonissos,water,water
70,G_W220,G119,2019-10-08,Med_Crete,Hersonissos,water,water
71,G_W224,G121,2019-10-09,Med_Crete,Psaromoura,water,water
72,G_W225,G121,2019-10-09,Med_Crete,Psaromoura,water,water
73,G_W226,G121,2019-10-09,Med_Crete,Psaromoura,water,water
74,G_W227,G121,2019-10-09,Med_Crete,Psaromoura,water,water
75,G_W228,G121,2019-10-09,Med_Crete,Psaromoura,water,water
76,G_W229,G121,2019-10-09,Med_Crete,Psaromoura,water,water
77,G_W230,G121,2019-10-09,Med_Crete,Psaromoura,water,water
78,G_W231,G121,2019-10-09,Med_Crete,Psaromoura,water,water
79,G_W232,G121,2019-10-09,Med_Crete,Psaromoura,water,water
149,F_M025,F14,2018-06-11,Med_France,Carnon_Palavas,food,algae
150,F_M026,F14,2018-06-11,Med_France,Carnon_Palavas,food,algae
151,F_M028,F14,2018-06-11,Med_France,Carnon_Palavas,food,algae
152,F_M029,F14,2018-06-11,Med_France,Carnon_Palavas,food,algae
153,F_M030,F14,2018-06-11,Med_France,Carnon_Palavas,food,algae
154,F_M034,F16,2018-06-12,Med_France,Frontignan_Aresquiers,food,algae
155,F_M035,F16,2018-06-12,Med_France,Frontignan_Aresquiers,food,algae
156,F_M036,F16,2018-06-12,Med_France,Frontignan_Aresquiers,food,algae
157,F_M038,F16,2018-06-12,Med_France,Frontignan_Aresquiers,food,algae
158,F_M040,F16,2018-06-12,Med_France,Frontignan_Aresquiers,food,algae
159,F_B048,F43,2018-09-24,Med_France,Carnon_Palavas,food,turf
160,F_B049,F43,2018-09-24,Med_France,Carnon_Palavas,food,turf
161,F_B050,F43,2018-09-24,Med_France,Carnon_Palavas,food,turf
162,F_M076,F43,2018-09-24,Med_France,Carnon_Palavas,food,seagrass
163,F_M077,F43,2018-09-24,Med_France,Carnon_Palavas,food,seagrass
164,F_B054,F48,2018-10-04,Med_France,Frontignan_Aresquiers,food,turf
165,F_B055,F48,2018-10-04,Med_France,Frontignan_Aresquiers,food,turf
166,F_B056,F48,2018-10-04,Med_France,Frontignan_Aresquiers,food,turf
167,F_M094,F48,2018-10-04,Med_France,Frontignan_Aresquiers,food,seagrass
168,F_M095,F48,2018-10-04,Med_France,Frontignan_Aresquiers,food,seagrass
169,F_M096,F48,2018-10-04,Med_France,Frontignan_Aresquiers,food,seagrass
170,F_M156,F66,2018-12-14,Med_France,Carnon_Palavas,food,turf
171,F_M157,F66,2018-12-14,Med_France,Carnon_Palavas,food,turf
172,F_M158,F66,2018-12-14,Med_France,Carnon_Palavas,food,turf
173,F_M171,F82,2019-05-22,Med_France,Carnon_Palavas,food,algae
174,F_M172,F82,2019-05-22,Med_France,Carnon_Palavas,food,algae
175,F_M173,F82,2019-05-22,Med_France,Carnon_Palavas,food,algae
176,F_M174,F82,2019-05-22,Med_France,Carnon_Palavas,food,algae
177,G_M190,G84,2019-06-05,Med_Crete,Hersonissos,food,algae
178,G_M191,G84,2019-06-05,Med_Crete,Hersonissos,food,algae
179,G_M192,G84,2019-06-05,Med_Crete,Hersonissos,food,algae
180,G_M194,G84,2019-06-05,Med_Crete,Hersonissos,food,algae
181,G_M195,G84,2019-06-05,Med_Crete,Hersonissos,food,algae
182,G_M198,G84,2019-06-05,Med_Crete,Hersonissos,food,seagrass
183,G_M199,G84,2019-06-05,Med_Crete,Hersonissos,food,seagrass
184,G_M200,G84,2019-06-05,Med_Crete,Hersonissos,food,seagrass
185,G_M201,G84,2019-06-05,Med_Crete,Hersonissos,food,algae
186,G_M202,G84,2019-06-05,Med_Crete,Hersonissos,food,algae
187,G_M203,G84,2019-06-05,Med_Crete,Hersonissos,food,algae
188,G_M204,G86,2019-06-06,Med_Crete,Hersonissos,food,algae
189,G_M206,G86,2019-06-06,Med_Crete,Hersonissos,food,algae
190,G_M207,G86,2019-06-06,Med_Crete,Hersonissos,food,algae
191,G_M208,G86,2019-06-06,Med_Crete,Hersonissos,food,algae
192,G_M210,G86,2019-06-06,Med_Crete,Hersonissos,food,algae
193,G_M212,G86,2019-06-06,Med_Crete,Hersonissos,food,algae
194,G_M213,G86,2019-06-06,Med_Crete,Hersonissos,food,algae
195,G_M220,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
196,G_M222,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
197,G_M223,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
198,G_M227,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
199,G_M228,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
200,G_M229,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
201,G_M231,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
202,G_M233,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,seagrass
203,G_M234,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,seagrass
204,G_M235,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,seagrass
205,G_M236,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,turf
206,G_M237,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,turf
207,G_M238,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,turf
208,G_M239,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
209,G_M240,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
210,G_M242,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
211,G_M243,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
212,G_M244,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
213,G_M245,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
214,G_M246,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
215,G_M247,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
216,G_M248,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
217,G_M250,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
218,G_M251,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
219,G_M252,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
220,G_M253,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,algae
221,G_M254,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,seagrass
222,G_M255,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,seagrass
223,G_M256,G88,2019-06-07,Med_Crete,Kokkini_Hani,food,seagrass
224,G_M261,G95,2019-06-13,Med_Crete,Bali,food,algae
225,G_M262,G95,2019-06-13,Med_Crete,Bali,food,algae
