"Sample_ID","sampling_id","Capture_method","Capture_depth","Capture_time","Death_time","Death_method","Body_storage","Taxonomy","body_quality","body_mass","standard_length","body_width","mouth_depth","mouth_width","Ouverture opercule","gut_state","gut_fullness","gut_metabarcod_time","barcoding_id","sequencing","gut_metabarcod_fieldStorage","gut_metabarcod_labTemp","gut_metabarcod_labTime","fish_genetic","genetic_sent","otolith","reproduction","isotope_liver","Blood","Scale","Brain","Hypothalamus","Hypophyse","Notes"
"S_F001","S_F01","handnet_gillnet","0-2m","09:15:00","09:20:00","Clove_oil","Ice","Sarpa_salpa","OK","191","210","29,7","12,23","13,07","13,74","OK","Full_gut","09:40:00","S_F001_B","sequenced","Ice","-20.0","18:30:00","S_F001_X","ok","S_F001_O","NA","NA","S_F001_BL","S_F001_SC","NA","NA","NA","Fecès / full stomach"
"S_F002","S_F01","handnet_gillnet","0-2m","09:15:00","09:20:00","Clove_oil","Ice","Sarpa_salpa","OK","37","120","15,34","7,35","6,92","10,54","OK","Full_gut","10:03:00","S_F002_B","sequenced","Ice","-20.0","18:30:00","S_F002_X","ok","S_F002_O","NA","NA","S_F002_BL","S_F002_SC","NA","NA","NA","NA"
"S_F003","S_F01","handnet_gillnet","0-2m","09:15:00","09:20:00","Clove_oil","Ice","Sarpa_salpa","OK","46","130","17,1","9,08","7,58","10,15","OK","Full_gut","10:19:00","S_F003_B","sequenced","Ice","-20.0","18:30:00","S_F003_X","ok","S_F003_O","NA","NA","S_F003_BL","NA","NA","NA","NA","Full stomach"
"S_F004","S_F01","handnet_gillnet","0-2m","09:15:00","09:20:00","Clove_oil","Ice","Diplodus_vulgaris","OK","NA","155","32,59","12,34","10,88","9,8","OK","Almost_full","10:46:00","S_F004_B","sequenced","Ice","-20.0","18:30:00","S_F004_X","NA","S_F004_O","NA","NA","S_F004_BL","S_F004_SC","NA","NA","NA","Très gras"
"S_F005","S_F01","handnet_gillnet","0-2m","09:15:00","09:20:00","Clove_oil","Ice","Diplodus_vulgaris","OK","27","100","14,07","8,67","8,4","8,65","OK","Full_gut","10:46:00","S_F005_B","sequenced","Ice","-20.0","18:30:00","S_F005_X","NA","S_F005_O","NA","NA","S_F005_BL","S_F005_SC","NA","NA","NA","Fecès"
"S_F006","S_F01","handnet_gillnet","0-2m","09:43:00","09:50:00","Clove_oil","Ice","Sarpa_salpa","OK","124","180","26,93","11,03","10,61","13,57","OK","Almost_full","10:58:00","S_F006_B","sequenced","Ice","-20.0","18:30:00","S_F006_X","ok","S_F006_O","NA","NA","S_F006_BL","S_F006_SC","NA","NA","NA","Fecès / Morceaux d'ulve dans le gut"
"S_F007","S_F01","handnet_gillnet","0-2m","09:43:00","09:50:00","Clove_oil","Ice","Sarpa_salpa","OK","42","135","17,71","8,32","7,86","11,15","OK","Half_full","11:11:00","S_F007_B","sequenced","Ice","-20.0","18:30:00","S_F007_X","ok","S_F007_O","NA","NA","S_F007_BL","S_F007_SC","NA","NA","NA","NA"
"S_F008","S_F01","handnet_gillnet","0-2m","09:43:00","09:50:00","Clove_oil","Ice","Sarpa_salpa","OK","37","115","16,45","8,5","6,8","8,61","OK","Almost_full","11:23:00","S_F008_B","sequenced","Ice","-20.0","18:30:00","S_F008_X","ok","S_F008_O","NA","NA","S_F008_BL","S_F008_SC","NA","NA","NA","Fecès / Full stomach"
"S_F009","S_F01","handnet_gillnet","0-2m","09:43:00","09:50:00","Clove_oil","Ice","Sarpa_salpa","OK","NA","48","4,97","NA","NA","5,11","OK","Almost_empty","12:26:00","S_F009_B","sequenced","Ice","-20.0","18:30:00","S_F009_X","ok","S_F009_O","NA","NA","NA","NA","NA","NA","NA","Fecès / Prélèvement contenus + Paroi /Pas de prélèvement de sang / Full stomach"
"S_F010","S_F01","handnet_gillnet","0-2m","09:43:00","09:50:00","Clove_oil","Ice","Sarpa_salpa","OK","NA","48","4,81","NA","NA","4,06","OK","Almost_full","NA","S_F010_B","sequenced","Ice","-20.0","18:30:00","S_F010_X","ok","S_F010_O","NA","NA","NA","NA","NA","NA","NA","Pas de prélèvement de sang / Full stomach"
"S_F011","S_F01","handnet_gillnet","0-2m","10:02:00","10:05:00","Clove_oil","Ice","Sarpa_salpa","OK","96","175","22,37","10,17","9,28","10,21","OK","Full _gut","12:52:00","S_F011_B","sequenced","Ice","-20.0","18:30:00","S_F011_X","ok","S_F011_O","NA","NA","S_F011_BL","S_F011_SC","NA","NA","NA","Gut avec liquide + morceaux / stomach full"
"S_F012","S_F01","handnet_gillnet","0-2m","10:02:00","10:05:00","Clove_oil","Ice","Sarpa_salpa","OK","NA","45","4,93","NA","NA","4,31","OK","Almost_full","13:05:00","S_F012_B","sequenced","Ice","-20.0","18:30:00","S_F012_X","ok","S_F012_O","NA","NA","S_F012_BL","S_F012_SC","NA","NA","NA","Pas de prélèvement de sang"
"S_F013","S_F01","handnet_gillnet","0-2m","10:02:00","10:05:00","Clove_oil","Ice","Sarpa_salpa","OK","NA","40,3","4,77","NA","NA","NA","OK","Almost_full","13:18:00","S_F013_B","sequenced","Ice","-20.0","18:30:00","S_F013_X","ok","S_F013_O","NA","NA","NA","NA","NA","NA","NA","Tête + foi= explosé/ Pas de IL/ Pas de prélèvement de sang"
"S_F014","S_F01","handnet_gillnet","0-2m","10:02:00","10:05:00","Clove_oil","Ice","Sarpa_salpa","OK","2","40,9","5,74","NA","NA","4,69","OK","Almost_full","13:35:00","S_F014_B","negative","Ice","-20.0","18:30:00","S_F014_X","ok","S_F014_O","NA","NA","NA","NA","NA","NA","NA","Fecès/ Pas de foi/Pas de prélèvement de sang"
"S_F015","S_F01","handnet_gillnet","0-2m","10:02:00","10:05:00","Clove_oil","Ice","Sarpa_salpa","OK","1,6","NA","NA","NA","NA","NA","OK","NA","NA","NA","NA","Ice","-20.0","18:30:00","S_F015_X","ok","S_F015_O","NA","NA","NA","NA","NA","NA","NA","Prélèvement d'hotolithe + génétique / Pas de dissection/Pas de prélèvement de sang / Pour la masse on a pesé 7 poissons en même temps car trop petit"
