"Sample_ID","sampling_id","sampling_time","sampling_depth","sample_type","sample_taxonomy","sample_pic_uw","sample_storage","sample_pic_lab","swab_area","swab_time","barcoding_id","transcripto_id","nutrient_id","isotope_id","bni_storage","bni_freezer","notes"
"S_M00x","first letter of site & 2 digits for rank of sampling (e.g. F01)","HH:MM","m","algae, seagrass, turf","Genus_species or family","number of pictures underwater","air, ice","number of pictures lab","area swabbed in cm2","HH:MM","S_M00x_B or NA","S_M00x_T or NA","S_W00x_N or NA","S_W00x_I or NA","air, ice","HH:MM",NA
"S_M001","S_F01","15:45:00","0.5","Algae","Padina_pavonica","NA","NA","NA","NA","NA","S_M001_B","NA","NA","S_M001_I","15:50:00","18:00:00","NA"
"S_M002","S_F01","15:45:00","0.5","Algae","Padina_pavonica","NA","NA","NA","NA","NA","S_M002_B","NA","NA","S_M002_I","15:50:00","18:00:00","NA"
"S_M003","S_F01","15:45:00","0.5","Algae","Padina_pavonica","NA","NA","NA","NA","NA","S_M003_B","NA","NA","S_M003_I","15:50:00","18:00:00","NA"
"S_M004","S_F01","15:45:00","0.5","Algae","Dictyota","NA","NA","NA","NA","NA","S_M004_B","NA","NA","S_M004_I","15:57:00","18:00:00","NA"
"S_M005","S_F01","15:45:00","0.5","Algae","Dictyota","NA","NA","NA","NA","NA","S_M005_B","NA","NA","S_M005_I","15:57:00","18:00:00","NA"
"S_M006","S_F01","15:45:00","0.5","Algae","Dictyota","NA","NA","NA","NA","NA","S_M006_B","NA","NA","S_M006_I","15:57:00","18:00:00","NA"
"S_M007","S_F02","15:16:00","0.4","Algae","Ulva","NA","NA","NA","NA","NA","S_M007_B","NA","NA","S_M007_I","15:30:00","18:00:00","NA"
"S_M008","S_F02","15:16:00","0.4","Algae","Ulva","NA","NA","NA","NA","NA","S_M008_B","NA","NA","S_M008_I","15:30:00","18:00:00","NA"
"S_M009","S_F02","15:16:00","0.4","Algae","Ulva","NA","NA","NA","NA","NA","S_M009_B","NA","NA","S_M009_I","15:30:00","18:00:00","NA"
