"Sample_ID"	"sampling_id"	"capture_method"	"capture_depth"	"capture_time"	"death_time"	"death_method"	"body_storage"	"picture_identification"	"taxonomy"	"body_quality"	"body_mass"	"standard_length"	"body_width"	"mouth_depth"	"mouth_width"	"picture_morphometrics"	"picture_gut"	"gut_state"	"gut_fullness"	"barcoding_time"	"barcoding_id"	"barcoding_field_storage"	"skin_id"	"transcripto_id"	"bt_freezer_temp"	"bt_freezer_time"	"abundance_id"	"abundance_volume"	"abundance_formol"	"stomach_barcoding_id"	"stomach_nut_id"	"feces_nut_id"	"genetic_id"	"otolith_id"	"sex_state"	"gonads_nut_id"	"body_nut_id"	"muscle_isotope_id"	"liver_isotope_id"	"stomach_isotope_id"	"nicx_field_storage"	"nicx_freezer_time"	"comments"	"country"	"country_Season"	"X"	"date"	"region"	"site"	"type"	"subtype"	"Capture_method"	"Capture_depth"	"Capture_time"	"Death_time"	"Death_method"	"Body_storage"	"Taxonomy"	"Ouverture.opercule"	"gut_metabarcod_time"	"sequencing"	"gut_metabarcod_fieldStorage"	"gut_metabarcod_labTemp"	"gut_metabarcod_labTime"	"fish_genetic"	"genetic_sent"	"otolith"	"reproduction"	"isotope_liver"	"Blood"	"Scale"	"Brain"	"Hypothalamus"	"Hypophyse"	"Notes"	"sampling_time"	"sampling_depth"	"sample_type"	"sample_taxonomy"	"sample_pic_uw"	"sample_storage"	"sample_pic_lab"	"swab_area"	"swab_time"	"nutrient_id"	"isotope_id"	"bni_storage"	"bni_freezer"	"notes.x"	"water_time"	"water_depth"	"water_volume"	"water_storage"	"filtering_time"	"filtering_volume"	"filter_type"	"chlorophyll_id"	"isotop_id"	"snbc_storage"	"snbc_freezer"	"sampling_rank"	"spot_name"	"spot_longitude"	"spot_latitude"	"way_point"	"gps_device"	"gps_precision"	"sampling_date"	"sampling_start"	"sampling_method"	"weather"	"wind_speed"	"wave_height"	"water_temperature"	"visibility_horizontal"	"current_speed"	"depth_min"	"depth_max"	"habitat_type"	"pictures_habitat"	"videos_habitat"	"sampling_area"	"tasks_done"	"type_of_storage"	"sampling_end"	"notes.y"
"F_F090"	"F18_exo"	"gillnet"	NA	NA	"09:30"	"Ice"	"Ice+electric_cooler"	"No"	"Sarpa_salpa"	"Intact"	"427"	"250"	"38.8"	"19.3"	"18.4"	1	1	"slightly_damaged"	"full"	"10:37"	"F_F090_B"	"cooler"	NA	NA	"-20_then_-80"	"16:30 then the next day 15:00"	"F_F090_C"	NA	NA	"F_F090_BS"	"F_F090_NS"	"F_F090_NF"	"F_F090_X"	"otolith_done_at_27-06-18"	"picture"	"F_F090_NR"	"F_F090_NB"	"F_F090_IM"	"F_F090_IL"	"F_F090_IS"	"cooler_with_ice"	"16:30"	"feces_in_general_cavity_around_3cm_cube; red_and_green_big_piece_of_algae; sampling_from_end_of_stomach_to_last_cm_of_gut"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F091"	"F18_exo"	"gillnet"	NA	NA	"09:30"	"Ice"	"Ice+electric_cooler"	"No"	"Sarpa_salpa"	"Intact"	"526"	"270"	"41.4"	"20.1"	"18.5"	1	1	"slightly_damaged"	"full"	"10:58"	"F_F091_B"	"cooler"	NA	NA	"-20_then_-80"	"16:30 then the next day 15:00"	"F_F091_C"	NA	NA	"F_F091_BS"	"F_F091_NS"	"F_F091_NF"	"F_F091_X"	"otolith_done_at_27-06-18"	"immature"	"F_F091_NR"	"F_F091_NB"	"F_F091_IM"	"F_F091_IL"	"F_F091_IS"	"cooler_with_ice"	"16:30"	"red_and_green_big_piece_of_algae; sampling_from_end_of_stomach_to_last_cm_of_gut"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F092"	"F18_exo"	"gillnet"	NA	NA	"09:30"	"Ice"	"Ice+electric_cooler"	"No"	"Sarpa_salpa"	"Intact"	"468"	"260"	"41.9"	"20.4"	"16.8"	1	1	"slightly_damaged"	"full"	"11:33"	"F_F092_B"	"cooler"	NA	NA	"-20_then_-80"	"16:30 then the next day 15:00"	"F_F092_C"	NA	NA	"F_F092_BS"	"F_F092_NS"	"F_F092_NF"	"F_F092_X"	"otolith_done_at_28-06-18"	"piture"	"F_F092_NR"	"F_F092_NB"	"F_F092_IM"	"F_F092_IL"	"F_F092_IS"	"cooler_with_ice"	"16:30"	"whithish_material_in_feces ; red_and_green_big_piece_of_algae; sampling_from_end_of_stomach_to_last_cm_of_gut"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F093"	"F18_exo"	"gillnet"	NA	NA	"09:30"	"Ice"	"Ice+electric_cooler"	"No"	"Sarpa_salpa"	"Intact"	"487"	"250"	"41.2"	"21.1"	"19.4"	1	1	"good"	"full"	"11:55"	"F_F093_B"	"cooler"	NA	NA	"-20_then_-80"	"16:30 then the next day 15:00"	"F_F093_C"	NA	NA	NA	"F_F093_NS"	"F_F093_NF"	"F_F093_X"	"otolith_done_at_28-06-18"	NA	NA	"F_F093_NB"	"F_F093_IM"	"F_F093_IL"	"F_F093_IS"	"cooler_with_ice"	"16:30"	"red_and_green_big_piece_of_algae ; sampling_from_end_of_stomach_to_last_cm_of_gut"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F094"	"F18_exo"	"gillnet"	NA	NA	"09:30"	"Ice"	"Ice+electric_cooler"	"No"	"Sarpa_salpa"	"Intact"	"374"	"237"	"39.4"	"19.6"	"18.3"	1	1	"slightly_damaged"	"full"	"12:10"	"F_F094_B"	"cooler"	NA	NA	"-20_then_-80"	"16:30 then the next day 15:00"	"F_F094_C"	NA	NA	"F_F094_BS"	"F_F094_NS"	"F_F094_NF"	"F_F094_X"	"otolith_done_at_28-06-18"	"picture"	"F_F094_NR"	"F_F094_NB"	"F_F094_IM"	"F_F094_IL"	"F_F094_IS"	"cooler_with_ice"	"16:30"	"red_and_green_big_piece_of_algae ; sampling_from_end_of_stomach_to_last_cm_of_gut"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F095"	"F18_exo"	"gillnet"	NA	NA	"09:30"	"Ice"	"Ice+electric_cooler"	"No"	"Sarpa_salpa"	"Intact"	"463"	"265"	"40.7"	"20.8"	"19.9"	1	1	"good"	"full"	"12:23"	"F_F095_B"	"cooler"	NA	NA	"-20_then_-80"	"16:30 then the next day 15:00"	"F_F095_C"	NA	NA	"F_F095_BS"	"F_F095_NS"	"F_F095_NF"	"F_F095_X"	"otolith_done_at_28-06-18"	"picture"	"F_F095_NR"	"F_F095_NB"	"F_F095_IM"	"F_F095_IL"	"F_F095_IS"	"cooler_with_ice"	"16:30"	"red_and_green_big_piece_of_algae ; sampling_from_end_of_stomach_to_last_cm_of_gut"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F099"	"F20_exo"	"gillnet"	NA	NA	NA	"Ice"	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"483"	"270"	"38.3"	"21.5"	"20.3"	1	1	"damaged"	"full_except_rectum"	"10:44"	"F_F099_B"	"cooler"	NA	NA	"-80"	"12:20"	"F_F099_C"	NA	NA	"F_F099_BS"	NA	NA	"F_F099_X"	"F_F099_O_yes"	"picture"	"F_F099_NR"	"F_F099_NB"	"F_F099_IM"	"F_F099_IL"	"F_F099_IS"	"cooler_with_ice"	"12:20"	"no_feces ; algae_piece"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F100"	"F20_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"508"	"255"	"40.6"	"20.5"	"17"	1	1	"damaged"	"full_except_rectum"	"11:00"	"F_F100_B"	"cooler"	NA	NA	"-80"	"12:20"	"F_F100_C"	NA	NA	"F_F100_BS"	"F_F100_NS"	NA	"F_F100_X"	"otolith_done_at_26-06-18
thaw_in_water_but_not_alone"	"picture"	"F_F100_NR"	"F_F100_NB"	"F_F100_IM"	"F_F100_IL"	"F_F100_IS"	"cooler_with_ice"	"12:20"	"green_algae_pieces"	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F102"	"F20_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"466"	"257"	"37.4"	"22.5"	"20.3"	1	1	"slightly_damaged"	"half_full"	"11:30"	"F_F102_B"	"cooler"	NA	NA	"-80"	"12:20"	"F_F102_C"	NA	NA	NA	NA	"F_F102_NF"	"F_F102_X"	"otolith_done_at_26-06-18"	"picture"	"F_F102_NR"	"F_F102_NB"	"F_F102_IM"	"F_F102_IL"	NA	"cooler_with_ice"	"12:20"	NA	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F_F103"	"F20_exo"	"gillnet"	NA	NA	NA	NA	"Ice"	"No"	"Sarpa_salpa"	"Intact"	"489"	"268"	"42.7"	"22.9"	"18.4"	1	1	"slightly_damaged"	"full"	"11:50"	"F_F103_B"	"cooler"	NA	NA	"-80"	"12:20"	"F_F103_C"	NA	NA	NA	"F_F103_NS"	"F_F103_NF"	"F_F103_X"	"otolith_done_at_26-06-18"	"picture"	"F_F103_NR"	"F_F103_NB"	"F_F103_IM"	"F_F103_IL"	"F_F103_IS"	"cooler_with_ice"	"12:20"	NA	"France"	"France_Summer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
