"","Fish_id","region","site","date","year","season","sampling_id","sex_cl","size_class","SL_mm","BM_g"
"1","F_F090","Med_France","Frontignan_Aresquiers",2018-06-15,2018,"Spring","F18","female","[20;30[",250,427
"2","F_F091","Med_France","Frontignan_Aresquiers",2018-06-15,2018,"Spring","F18","hybrid","[20;30[",270,526
"3","F_F092","Med_France","Frontignan_Aresquiers",2018-06-15,2018,"Spring","F18","female","[20;30[",260,468
"4","F_F093","Med_France","Frontignan_Aresquiers",2018-06-15,2018,"Spring","F18","unknown","[20;30[",250,487
"5","F_F094","Med_France","Frontignan_Aresquiers",2018-06-15,2018,"Spring","F18","hybrid","[20;30[",237,374
"6","F_F095","Med_France","Frontignan_Aresquiers",2018-06-15,2018,"Spring","F18","hybrid","[20;30[",265,463
"7","F_F099","Med_France","Frontignan_Aresquiers",2018-06-19,2018,"Spring","F20","female","[20;30[",270,483
"8","F_F100","Med_France","Frontignan_Aresquiers",2018-06-19,2018,"Spring","F20","female","[20;30[",255,508
"9","F_F102","Med_France","Frontignan_Aresquiers",2018-06-19,2018,"Spring","F20","hybrid","[20;30[",257,466
"10","F_F103","Med_France","Frontignan_Aresquiers",2018-06-19,2018,"Spring","F20","female","[20;30[",268,489
"11","F_F104","Med_France","Frontignan_Aresquiers",2018-06-19,2018,"Spring","F20","hybrid","[20;30[",236,431
"12","F_F105","Med_France","Frontignan_Aresquiers",2018-06-19,2018,"Spring","F20","hybrid","[20;30[",262,482
"13","F_F112","Med_France","Carnon_Palavas",2018-06-20,2018,"Spring","F24","unknown","[20;30[",240,351
"14","F_F116","Med_France","Carnon_Palavas",2018-06-20,2018,"Spring","F24","immature","[20;30[",203,203
"15","F_F119","Med_France","Carnon_Palavas",2018-06-22,2018,"Spring","F26","hybrid","[20;30[",249,425
"16","F_F120","Med_France","Carnon_Palavas",2018-06-22,2018,"Spring","F26","male","[20;30[",236,405
"17","F_F121","Med_France","Carnon_Palavas",2018-06-22,2018,"Spring","F26","hybrid","[20;30[",246,453
"18","F_F122","Med_France","Carnon_Palavas",2018-06-22,2018,"Spring","F26","hybrid","[20;30[",242,445
"19","F_F123","Med_France","Carnon_Palavas",2018-06-22,2018,"Spring","F26","hybrid","[20;30[",253,440
"20","F_F124","Med_France","Carnon_Palavas",2018-06-22,2018,"Spring","F26","female","[20;30[",297,716
"21","F_F125","Med_France","Carnon_Palavas",2018-06-22,2018,"Spring","F26","female","[20;30[",288,674
"22","F_F205","Med_France","Frontignan_Aresquiers",2018-09-07,2018,"Summer","F34","female","[20;30[",264,421
"23","F_F212","Med_France","Frontignan_Aresquiers",2018-09-10,2018,"Summer","F35","male","[20;30[",260,595
"24","F_F246","Med_France","Carnon_Palavas",2018-09-18,2018,"Summer","F39","hybrid","[20;30[",234,368
"25","F_F247","Med_France","Carnon_Palavas",2018-09-18,2018,"Summer","F39","male","[20;30[",235,362
"26","F_F248","Med_France","Carnon_Palavas",2018-09-18,2018,"Summer","F39","male","[20;30[",233,341
"27","F_F249","Med_France","Carnon_Palavas",2018-09-18,2018,"Summer","F39","male","[20;30[",244,422
"28","F_F250","Med_France","Carnon_Palavas",2018-09-18,2018,"Summer","F39","male","[20;30[",265,446
"29","F_F251","Med_France","Carnon_Palavas",2018-09-18,2018,"Summer","F39","male","[20;30[",268,538
"30","F_F252","Med_France","Carnon_Palavas",2018-09-18,2018,"Summer","F39","female","[20;30[",283,523
"31","F_F256","Med_France","Carnon_Palavas",2018-09-18,2018,"Summer","F39","male","[20;30[",251,411
"32","F_F297","Med_France","Carnon_Palavas",2018-09-26,2018,"Summer","F44","unknown","[20;30[",215,277
