sample_id_fastq,barcoding_id,sample_id,sampling_id,taxonomy,sample_type,sample_type_2,sample_type_3,zone,spot_name,region,region_season,season,body_mass,size_class,sex_state,gut_fullness,standard_length,taxo_q0,taxo_q1,scfa_q0,scfa_q1,enzymes_q0,enzymes_q1,ontogeny
G-F611-B,G_F611_B,G_F611,G83,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Spring,Spring,128,"[100,200]",see_NB_plastic_bag,full,183,329,192.077176549263,93,34.5918990483599,136,54.2017673732266,adult
G-F630-B,G_F630_B,G_F630,G86,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Hersonissos,Hersonissos,Northern_Crete,Northern_Crete_Spring,Spring,39,"[100,200]",beginning_of_male_gonads,two_third_full,123,358,190.841511460297,102,39.8665119494294,144,59.2167136410713,juvenile
G-F661-B,G_F661_B,G_F661,G87,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Spring,Spring,NA,"[100,200]",NA,full,122,511,354.647425672395,113,33.2742449114589,157,56.2833243626259,juvenile
G-F671-B,G_F671_B,G_F671,G87,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Spring,Spring,47,"[100,200]",NA,NA,125,222,122.722000971661,93,32.6753167440643,132,43.6606239040325,juvenile
G-F700-B,G_F700_B,G_F700,G91,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Kokkini_Hani,Kokkini_Hani,Northern_Crete,Northern_Crete_Spring,Spring,53,"[100,200]",NA,full,135,112,30.7643079438809,101,33.0018305348335,136,37.6404320647466,juvenile
G-F706-B,G_F706_B,G_F706,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,284,> 200,NA,almost_full,224,344,213.521713692236,108,36.2009883755394,142,60.6155942356188,adult
G-F707-B,G_F707_B,G_F707,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,654,> 200,intersexuée,filled_last_third,290,276,178.104466439677,83,32.0885271066137,123,47.5216452035863,adult
G-F708-B,G_F708_B,G_F708,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,286,> 200,immature,full,211,364,253.311600907324,87,37.6784293723838,134,60.1965350018738,adult
G-F712-B,G_F712_B,G_F712,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,532,> 200,NA,full,266,248,109.24777072163,77,35.6461346420134,117,48.6134641348407,adult
G-F713-B,G_F713_B,G_F713,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,481,> 200,immature,almost_full,263,258,121.39841885152,93,34.7453910496207,140,47.9084178389497,adult
G-F715-B,G_F715_B,G_F715,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,386,> 200,NA,full,238,360,225.946001182575,96,37.0347409188768,137,61.1789422249021,adult
G-F716-B,G_F716_B,G_F716,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,291,> 200,NA,full,220,337,126.657203472057,106,31.8035246347972,144,44.1938319785054,adult
G-F717-B,G_F717_B,G_F717,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,184,"[100,200]",NA,full,188,284,163.932502130728,85,39.0867398400046,133,55.8591475076342,adult
G-F718-B,G_F718_B,G_F718,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,272,> 200,filaments,almost_full,222,386,237.509336140787,103,39.99188092786,140,59.3161245899982,adult
G-F719-B,G_F719_B,G_F719,G93,Sarpa_salpa,Fish,Sarpa_salpa,Sarpa_salpa,Bali,Bali,Northern_Crete,Northern_Crete_Spring,Spring,128,"[100,200]",NA,filled_last_two_third,178,245,69.0197198390966,100,35.8479603185896,139,49.127230653852,adult
